19.81,22.89,18.91,0.55,0.415,51.0,43.0,0.21,75.0897585508,0.863926735862
65.35,134.33,166.17,0.59,0.385,15.0,79.0,0.13,78.416048723,0.347978428065
55.45,126.37,22.89,0.19,0.255,75.0,75.0,0.43,36.7571105716,0.436405216258
99.01,86.57,38.81,0.09,0.165,87.0,25.0,0.59,1.41955574921,0.0125567845685
91.09,198.01,78.61,0.83,0.125,81.0,93.0,0.27,78.1929739855,0.336761442249
41.59,78.61,190.05,0.01,0.305,63.0,89.0,0.93,1.27306026146,0.00738000308565
9.91,54.73,154.23,0.89,0.275,77.0,91.0,0.61,78.0836850865,0.388688970903
5.95,94.53,114.43,0.87,0.145,21.0,23.0,0.83,79.2005813688,0.557764914102
49.51,62.69,98.51,0.45,0.075,61.0,7.0,0.95,72.7797440884,0.56483948988
37.63,166.17,158.21,0.17,0.065,49.0,33.0,0.37,3.65383035878,0.0451963537223
73.27,98.51,34.83,0.61,0.455,39.0,17.0,0.63,78.4189767445,0.31276250585
39.61,18.91,174.13,0.99,0.285,41.0,87.0,0.69,78.85500949,0.871937619592
51.49,2.99,198.01,0.39,0.055,73.0,41.0,0.07,22.2484603313,1.33816366645
61.39,30.85,142.29,0.37,0.105,47.0,65.0,0.81,57.2444709666,0.970007579903
7.93,162.19,130.35,0.35,0.365,7.0,63.0,0.89,75.0676417915,0.252604610078
43.57,38.81,162.19,0.49,0.025,9.0,9.0,0.51,70.8145604885,0.8275433736
93.07,130.35,94.53,0.29,0.045,25.0,21.0,0.29,29.4115153575,1.30835006552
97.03,138.31,102.49,0.05,0.155,89.0,3.0,0.55,1.12023353871,0.00504702493428
17.83,10.95,46.77,0.71,0.335,23.0,83.0,0.65,78.5465770096,1.39318024069
33.67,42.79,70.65,0.11,0.435,91.0,61.0,0.79,2.83938347582,0.0464311714712
89.11,178.11,118.41,0.41,0.465,3.0,27.0,0.09,74.2293582181,0.388221187865
83.17,110.45,150.25,0.31,0.375,53.0,59.0,0.25,55.5711751256,0.537226449609
23.77,158.21,186.07,0.73,0.225,19.0,97.0,0.45,77.657619391,0.421473480207
15.85,146.27,178.11,0.15,0.205,31.0,51.0,0.71,6.43370291812,0.176160348387
95.05,150.25,110.45,0.23,0.195,57.0,85.0,0.85,43.3610422932,0.373461578561
53.47,154.23,90.55,0.21,0.425,37.0,71.0,0.23,32.2568562713,0.729626145235
87.13,14.93,30.85,0.51,0.405,95.0,55.0,0.53,77.5421347395,1.24699257132
3.97,186.07,54.73,0.27,0.135,79.0,81.0,0.87,49.4301321908,0.609540483022
21.79,50.75,14.93,0.85,0.245,67.0,11.0,0.41,78.307066506,0.567496638411
71.29,82.59,138.31,0.33,0.005,13.0,67.0,0.35,3.35718815836,0.0425628326989
45.55,66.67,170.15,0.77,0.185,5.0,53.0,0.31,79.1051863795,0.558941305311
29.71,6.97,122.39,0.69,0.395,43.0,49.0,0.11,79.2120077941,0.922901383735
13.87,34.83,58.71,0.75,0.015,65.0,29.0,0.05,75.5882293628,0.733253687719
35.65,174.13,26.87,0.47,0.115,97.0,31.0,0.99,75.3637035046,0.422126076627
81.19,122.39,182.09,0.53,0.475,29.0,37.0,0.75,78.3544841823,0.605548339162
79.21,74.63,82.59,0.63,0.315,11.0,99.0,0.67,78.585123761,0.709770222715
47.53,190.05,2.99,0.79,0.445,1.0,19.0,0.15,77.7240248856,0.410865131925
1.99,170.15,62.69,0.81,0.295,85.0,35.0,0.47,78.252584699,0.375002951533
85.15,46.77,86.57,0.03,0.175,45.0,47.0,0.33,0.869393256032,0.00786852927649
11.89,58.71,194.03,0.97,0.035,17.0,13.0,0.49,77.7930005568,0.880203735334
67.33,182.09,74.63,0.93,0.085,71.0,15.0,0.91,78.9153103425,0.212190602177
63.37,26.87,50.75,0.25,0.485,69.0,95.0,0.39,41.5596939646,0.726516970588
57.43,118.41,106.47,0.43,0.095,59.0,57.0,0.19,69.7598278975,0.286490765602
77.23,194.03,42.79,0.13,0.215,35.0,45.0,0.17,5.32003186514,0.590575197745
25.75,114.43,134.33,0.65,0.345,83.0,39.0,0.73,78.4149638531,0.436666181115
31.69,90.55,6.97,0.07,0.265,99.0,73.0,0.97,2.20687771402,0.0152871694135
75.25,102.49,66.67,0.95,0.355,27.0,77.0,0.57,79.327302229,0.426942165297
59.41,142.29,126.37,0.91,0.325,55.0,5.0,0.01,78.2379794718,0.482350937473
69.31,70.65,10.95,0.67,0.235,93.0,1.0,0.03,78.0305797595,0.443868884134
27.73,106.47,146.27,0.57,0.495,33.0,69.0,0.77,78.3802943688,0.393653442749
